Neighborhood,Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Lot Size (Sq.Ft.),Finished Size (Sq.Ft.),Rent Amount,Rent-to-Finished Size Ratio,Year Built,Bathroom,Bedrooms,Total Rooms,ZPID
Southside Flats,2310 Carey Way,Pittsburgh,PA,15203,40.427716,-79.972614,SingleFamily,1151,2644,2786,1.05,1900,3,3,8,11291504
Southside Flats,138 S 23rd St,Pittsburgh,PA,15203,40.426386,-79.973466,SingleFamily,1440,2166,2096,0.97,1900,2.5,3,6,11291647
Southside Flats,2521 Sarah St,Pittsburgh,PA,15203,40.426984,-79.969326,SingleFamily,2400,918,1226,1.34,1900,1,3,4,11291660
Southside Slopes,85 Pius St,Pittsburgh,PA,15203,40.42468,-79.981669,SingleFamily,2000,882,1172,1.33,1900,1.5,2,4,11291792
Southside Slopes,2016 Gregory St,Pittsburgh,PA,15203,40.423472,-79.978519,SingleFamily,2160,1956,1258,0.64,1900,2,3,6,11307454
Southside Slopes,2618 Mccord St,Pittsburgh,PA,15203,40.423286,-79.969332,SingleFamily,1600,1160,1241,1.07,1900,3,3,5,11307704
Southside Slopes,2706 Niles St,Pittsburgh,PA,15203,40.42027,-79.969517,Condominium,1600,1202,1125,0.94,1900,1,2,5,11308218
Swisshelm Park,255 Homestead St,Pittsburgh,PA,15218,40.422373,-79.898707,SingleFamily,7200,1650,1426,0.86,1900,1.5,2,5,11345098
Sheraden,2710 Glasgow St,Pittsburgh,PA,15204,40.456284,-80.046603,SingleFamily,42925,1370,889,0.65,1900,1,3,6,11371238
Manchester,1209 N Franklin St,Pittsburgh,PA,15233,40.456362,-80.0234,Condominium,1054,1816,938,0.52,1900,1,3,9,11376055
Manchester,1331 Liverpool St,Pittsburgh,PA,15233,40.454909,-80.026269,MultiFamily2To4,3049,3392,1300,0.38,1900,3.5,4,11,11376338
Perry South,1672 Perrysville Ave,Pittsburgh,PA,15212,40.461021,-80.009406,SingleFamily,1140,1008,880,0.87,1900,1,1,6,11387342
Fine View,21 Carrie St,Pittsburgh,PA,15212,40.461488,-80.001624,SingleFamily,5227,1632,903,0.55,1900,1,3,6,11387527
Spring Hill - City View,1223 Itin St,Pittsburgh,PA,15212,40.462044,-79.991242,SingleFamily,2266,1696,930,0.55,1900,2,4,8,11394458
East Allegheny,604 Middle St,Pittsburgh,PA,15212,40.453358,-79.998909,SingleFamily,804,1283,1151,0.9,1900,2,2,4,11395496
Oakland,501 Cato St,Pittsburgh,PA,15213,40.433368,-79.956207,MultiFamily2To4,1640,3052,1269,0.42,1900,,0,12,11413476
Oakland,3286 Dawson St,Pittsburgh,PA,15213,40.432552,-79.953288,MultiFamily2To4,2799,2540,1331,0.52,1900,2,5,9,11420093
Banksville,2321 Potomac Ave,Pittsburgh,PA,15216,40.40534,-80.043868,SingleFamily,65340,1392,1159,0.83,1900,1,2,6,11453441
Sheraden,3022 Merwyn Ave,Pittsburgh,PA,15204,40.457785,-80.052283,SingleFamily,2500,1819,837,0.46,1900,1,3,6,11482784
Sheraden,2947 Sacramento Ave,Pittsburgh,PA,15204,40.457386,-80.0503,SingleFamily,2482,1663,899,0.54,1900,2,4,6,11483302
Perry South,339 Lafayette Ave,Pittsburgh,PA,15214,40.465988,-80.006487,SingleFamily,5250,2534,953,0.38,1900,3,3,10,11505838
Spring Hill - City View,1800 Walz St,Pittsburgh,PA,15212,40.464492,-79.991,SingleFamily,7800,1246,940,0.75,1900,2,2,6,11511793
Troy Hill,2025 Veronica St,Pittsburgh,PA,15212,40.468966,-79.980845,SingleFamily,2200,1174,849,0.72,1900,1,2,6,11512076
Central Lawrenceville,232 45th St,Pittsburgh,PA,15201,40.471306,-79.958516,SingleFamily,1819,1911,1588,0.83,1900,2.5,2,5,11512903
Central Lawrenceville,357 44th St,Pittsburgh,PA,15201,40.469021,-79.956023,SingleFamily,2160,2848,1288,0.45,1900,2,3,8,11513601
Lower Lawrenceville,3935 Howley St,Pittsburgh,PA,15224,40.463612,-79.958353,SingleFamily,1940,1256,1131,0.9,1900,1,2,6,11514617
Bloomfield,4028 Howley St,Pittsburgh,PA,15224,40.463623,-79.955983,MultiFamily2To4,1300,952,1032,1.08,1900,1,2,4,11514905
Shadyside,536 S Graham St,Pittsburgh,PA,15232,40.455341,-79.936066,SingleFamily,2776,2256,2786,1.23,1900,2.5,4,7,11525225
Hazelwood,4539 Parnell St,Pittsburgh,PA,15207,40.416287,-79.941649,SingleFamily,3049,1500,1118,0.75,1900,1,3,6,11545383
Carrick,1519 Amanda Ave,Pittsburgh,PA,15210,40.400464,-79.987908,SingleFamily,3332,1846,900,0.49,1900,2,4,6,11556504
Brighton Heights,3450 Fleming Ave,Pittsburgh,PA,15212,40.47807,-80.038319,MultiFamily2To4,2000,2802,958,0.34,1900,3,4,,11603915
Upper Lawrenceville,5222 Dresden Way,Pittsburgh,PA,15201,40.480632,-79.953487,SingleFamily,1120,1172,1076,0.92,1900,1,2,4,11612514
Upper Lawrenceville,5136 Holmes St,Pittsburgh,PA,15201,40.478293,-79.952128,SingleFamily,3000,1596,1122,0.7,1900,2.5,4,7,11612810
East Liberty,5818 Hays St,Pittsburgh,PA,15206,40.468206,-79.92329,SingleFamily,3100,2597,978,0.38,1900,3.5,5,10,11623008
Shadyside,353 S Highland Ave,Pittsburgh,PA,15206,40.455575,-79.924935,SingleFamily,5250,2561,2897,1.13,1900,2.5,3,7,11624992
Shadyside,350 Spahr St,Pittsburgh,PA,15232,40.455761,-79.927896,SingleFamily,2492,1753,2168,1.24,1900,1.5,3,6,11625070
Point Breeze,630 Hastings St,Pittsburgh,PA,15206,40.447627,-79.916593,Condominium,2304,1594,2087,1.31,1900,1.5,3,6,11629596
Squirrel Hill North,1452 Beechwood Blvd,Pittsburgh,PA,15217,40.442439,-79.917725,SingleFamily,40000,5672,3810,0.67,1900,5.5,8,10,11630876
Overbrook,16 Jacob St,Pittsburgh,PA,15234,40.385938,-79.997298,SingleFamily,4455,842,828,0.98,1900,1,2,4,11648085
Brighton Heights,1610 Davis Ave,Pittsburgh,PA,15212,40.480534,-80.040151,MultiFamily2To4,4913,3007,944,0.31,1901,3,4,8,11603720
Knoxville,415 Charles St,Pittsburgh,PA,15210,40.416636,-79.996268,MultiFamily2To4,3750,2306,849,0.37,1902,2,0,14,11316041
Fine View,1729 Warren St,Pittsburgh,PA,15212,40.462146,-80.002896,SingleFamily,2760,2081,884,0.42,1902,2,3,6,11387587
Knoxville,433 Moore Ave,Pittsburgh,PA,15210,40.411544,-79.996075,SingleFamily,5215,1862,866,0.47,1902,2,2,8,11435567
Squirrel Hill North,5618 Woodmont St,Pittsburgh,PA,15217,40.441768,-79.926799,SingleFamily,5640,4336,2399,0.55,1902,3.5,7,14,11630638
Shadyside,732 Maryland Ave,Pittsburgh,PA,15232,40.453052,-79.929389,SingleFamily,4500,2402,2587,1.08,1903,2.5,4,10,11625282
Bloomfield,5407 Friendship Ave,Pittsburgh,PA,15232,40.462076,-79.936933,SingleFamily,3999,2975,1839,0.62,1904,3,6,13,11524485
Mount Washington,150 Ulysses St,Pittsburgh,PA,15211,40.433564,-80.012606,SingleFamily,2800,1200,1187,0.99,1905,1,3,5,11363439
East Allegheny,1214 James St,Pittsburgh,PA,15212,40.45735,-80.001661,SingleFamily,1350,2360,1152,0.49,1905,2,4,10,11388914
Shadyside,5421 Claybourne St,Pittsburgh,PA,15232,40.455309,-79.937307,SingleFamily,2600,2205,2494,1.13,1905,2.5,4,7,11525166
